Subject,ROI,Embedding,2V2 Accuracy,Pearson Correlation
subj1,language,SBERT1,0.9931858678955454,0.31492048448886634
subj1,language,SBERT2,0.9948624679979519,0.33700068930767896
subj1,language,T5,0.9289646697388634,0.8279796834038388
subj1,language,CLIP,0.9893349718381976,0.5859327226060695
subj1,vision,SBERT1,0.9948407578084998,0.3256542710575626
subj1,vision,SBERT2,0.9968385048643114,0.3481172395390633
subj1,vision,T5,0.9255733742959549,0.8309238931321101
subj1,vision,CLIP,0.9945601638504865,0.6076274570638103
subj1,task,SBERT1,0.9972243727598565,0.37513206889170114
subj1,task,SBERT2,0.9978179211469534,0.39809631597936634
subj1,task,T5,0.9284460829493086,0.8513827501045877
subj1,task,CLIP,0.9961691756272402,0.6533177402047358
subj1,dmn,SBERT1,0.996378494623656,0.33888243349156716
subj1,dmn,SBERT2,0.9972034818228366,0.3607094675790305
subj1,dmn,T5,0.919405222734255,0.8327453361839705
subj1,dmn,CLIP,0.9906568356374809,0.609877314474351
subj2,language,SBERT1,0.9945908858166923,0.3258531878781826
subj2,language,SBERT2,0.9951225806451613,0.3396414289097535
subj2,language,T5,0.9377146953405017,0.8219884492943443
subj2,language,CLIP,0.9932849974398362,0.5913838350410534
subj2,vision,SBERT1,0.9958193548387098,0.3360673416140052
subj2,vision,SBERT2,0.9966390168970815,0.3568556051337243
subj2,vision,T5,0.9266035842293906,0.8236101612810851
subj2,vision,CLIP,0.992462877624168,0.6026861609095089
subj2,task,SBERT1,0.9957407066052226,0.3611616396160507
subj2,task,SBERT2,0.9968921658986176,0.37737782928847785
subj2,task,T5,0.9198664618535588,0.8385652521607943
subj2,task,CLIP,0.9924333845366103,0.6352359461745838
subj2,dmn,SBERT1,0.9943721454173067,0.33972957810699367
subj2,dmn,SBERT2,0.9961990783410138,0.3566431605600963
subj2,dmn,T5,0.9265290322580645,0.8259913251843978
subj2,dmn,CLIP,0.9910918586789554,0.6036374119846248
